bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0,0.0,1.0,2,2,0.867607,0.853113,0.164081,1.000000
0-1d,1.0,3.0,6,2,0.894329,0.549762,0.072479,0.833333
1-3d,3.0,7.0,10,2,0.827093,0.804481,0.132291,1.000000
3-7d,7.0,14.0,18,2,0.846513,0.631062,0.182160,0.944444
7-14d,14.0,30.0,6,2,0.848963,0.640154,0.329276,0.833333
30-60d,60.0,,48,2,0.448653,0.347266,0.506055,0.875000
