bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0-1d,1.0,3.0,12,6,0.711380,0.678806,0.283673,0.916667
1-3d,3.0,7.0,18,6,0.758346,0.677505,0.062117,0.944444
3-7d,7.0,14.0,23,6,0.678532,0.587263,0.278847,0.913043
7-14d,14.0,30.0,39,6,0.562130,0.462678,0.381715,0.948718
14-30d,30.0,60.0,88,6,0.560861,0.462684,0.435710,0.909091
30-60d,60.0,,20,6,0.414335,0.195054,0.309608,0.900000
