cluster_id,n_sessions,session_ids,span_days
1,7,20230330T133602;20230413T142422;20230509T130346;20230511T142916;20230518T135808;20230523T145755;20230525T103049,55.8714
2,2,20230622T111856;20230703T122644,11.0471
