bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0,0.0,1.0,17,6,0.605087,0.543000,0.339831,0.882353
0-1d,1.0,3.0,18,6,0.685030,0.621472,0.204471,0.888889
1-3d,3.0,7.0,46,6,0.614059,0.453303,0.240248,0.869565
3-7d,7.0,14.0,79,6,0.650610,0.439543,0.257733,0.822785
7-14d,14.0,30.0,30,5,0.599940,0.436130,0.540791,0.800000
