cluster_id,n_sessions,session_ids,span_days
1,1,20210401T124246,0.0000
2,1,20210416T105525,0.0000
3,1,20210423T105645,0.0000
4,1,20210520T120659,0.0000
5,1,20210604T143542,0.0000
6,3,20210708T131736;20210709T103307;20210715T105108,6.8983
7,1,20210716T103652,0.0000
