channel,array_name,max_gap_days_at_r
11,A1,58.9942
22,A1,80.9183
25,A1,49.0153
38,A2,55.8714
47,A2,80.9183
61,A2,83.9048
67,A3,69.8712
68,A3,94.9519
69,A3,94.9519
70,A3,94.9519
77,A3,80.9183
85,A3,83.9048
121,A4,58.9942
122,A4,58.9942
142,A5,29.8479
146,A5,83.9048
