bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0-1d,1.0,3.0,31,16,0.764502,0.684772,0.311520,0.870968
1-3d,3.0,7.0,75,16,0.840611,0.723727,0.354239,0.866667
3-7d,7.0,14.0,72,16,0.787040,0.700095,0.331760,0.819444
7-14d,14.0,30.0,143,16,0.744093,0.574848,0.403641,0.769231
14-30d,30.0,60.0,238,16,0.668246,0.414028,0.417050,0.756303
30-60d,60.0,,42,13,0.570619,0.296123,0.449873,0.595238
