channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable
1,A1,10,0.08426897657567849,0.08843329226352092,0.7,7,-0.0022597329927020226,0.0028385200761047225,0.0036625141933993577,0.003022595751010145,False
2,A1,7,0.027335270588739656,0.008169722542409143,0.5714285714285714,4,-0.006317889537063572,0.018322246938797283,0.006298155044979571,0.014627997542169383,False
3,A1,8,0.05738188462781752,-0.0037042828556716704,0.5,4,-0.0012191556148628555,0.004446203791079771,0.002178946330918629,0.004078147350894724,False
4,A1,10,0.08473476380760316,0.03306294406132165,0.9,9,0.0027627959298953996,0.004605559329153769,0.002778481229641778,0.004602922663619961,False
6,A1,10,0.009952465130101031,-0.005204829429266791,0.7,7,0.0028105085091180517,0.0037216604238128003,0.002728853182981655,0.003933942920601528,False
8,A1,9,0.03519084237872308,0.007411062255230593,0.5555555555555556,5,-0.0014570997578388012,0.004967571022325964,0.00227288110793232,0.005309777544082679,False
9,A1,10,0.30087847955013003,0.17147226806306226,0.9,9,0.009337932219976652,0.009072713663993216,0.006481534415011266,0.007010243909079495,False
10,A1,10,-0.00738005364888568,0.005225556484675065,0.8,8,0.0026349370125103976,0.0025968949316161425,0.0029439685881371635,0.0028600067434166633,False
11,A1,10,0.22158861817888437,0.18199240589573046,0.7,7,0.006150713263239763,0.012758232314739746,0.01011066311695573,0.01602718346557233,False
12,A1,10,0.04847782031526565,0.015779178285218572,1.0,10,0.004898391519062775,0.003439675654326213,0.0037264000803313557,0.003479324896606396,False
13,A1,10,0.43707125524254087,0.30452901435581914,0.8,8,0.00400027798770111,0.004473104584431695,0.0030618247334022707,0.004784150123295845,False
14,A1,10,0.15348762435289323,0.08871128567705358,0.8,8,0.0036307077441176797,0.003784618978056174,0.0037942579063074875,0.004182078709175734,False
15,A1,10,0.4280174826700398,0.3679962473611615,1.0,10,0.018964314560324276,0.00466537367229977,0.018831472589515542,0.004963715195974376,False
17,A1,10,0.21600714277102584,0.08526725018071438,0.8,8,0.006458458656387807,0.006043987805000008,0.007067608128475641,0.007120284803851112,False
18,A1,10,0.18399332258494672,0.10468754694135969,1.0,10,0.012957356905384571,0.004973323809345531,0.012729368446972027,0.0056998813401774005,False
19,A1,10,0.2395210698441467,0.1891731282099715,0.5,5,-0.00010421892504980017,0.005342324375665118,0.005657782214711223,0.006268940666406701,False
20,A1,5,0.01671901733790235,-0.012818571843782076,0.6,3,0.0073518010767894045,0.021183530190108355,0.01568578864183173,0.028330396086283516,False
21,A1,8,0.08575554166391192,0.08071497942983312,0.875,7,0.005871121407721086,0.006610011967685693,0.004381485011204949,0.006596191266908459,False
22,A1,10,0.625181133112843,0.5167231592119538,1.0,10,-0.013177073167887996,0.007509984771080017,0.013366448518066374,0.00783334929585993,True
23,A1,10,0.1896236679991749,-0.01549899417542954,0.6,6,0.002387318445347309,0.0046612946210866455,0.00419583516955317,0.005726376895770091,False
24,A1,9,0.016829605118257616,0.014084599433674076,0.5555555555555556,5,0.0005825207419368511,0.011672443255038576,0.003963960289936937,0.0095865653237286,False
25,A1,5,0.04454637011931694,0.14760851819455326,0.8,4,0.00568033884761143,0.005025596023918992,0.003865280987867973,0.00762407282220821,False
26,A1,10,0.038765001311269184,-0.011624598777086634,0.7,7,0.004875680594792981,0.008964619297372169,0.006393107247451689,0.008961800142790403,False
27,A1,10,0.07356876791349287,0.027763823273040143,0.9,9,0.0047340542695092185,0.012916652423721467,0.00462330866530092,0.011696557716857032,False
28,A1,10,0.11731515815090372,0.06227671559705898,0.8,8,0.006547772209409506,0.00741928843852208,0.003870389613272235,0.007601337365560936,False
