session_id,session_pair,dataset,problem,n_Dyadic,n_SemiSolo,n_SoloA,n_SoloARewardAB,n_SoloB,n_SoloBRewardAB
20210331T130804,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210401T124246,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,300,220,137,-,-,-
20210415T112453,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210416T105525,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,259,281,130,-,-,-
20210421T105506,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210422T131844,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210423T105645,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,300,300,174,-,-,-
20210519T112804,A_Elmo.B_KN,Elmo_BLOCKED_CONF,session dir missing,-,-,-,-,-,-
20210520T120659,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210521T102025,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210604T143542,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,260,240,144,-,-,-
20210608T131158,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,240,239,166,-,-,-
20210616T124854,A_Elmo.B_ST,Elmo_BLOCKED_CONF,suspicious: 269 SemiSolo trials but 0 rewarded (check RA/RB labels),260,0,324,-,-,-
20210617T125407,A_Elmo.B_ST,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210624T130705,A_Elmo.B_KN,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210707T125533,A_Elmo.B_ST,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210708T131736,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,480,-,377,-,-,-
20210709T103307,A_Elmo.B_ST,Elmo_BLOCKED_CONF,-,480,-,267,-,-,-
20210715T105108,A_Elmo.B_ST,Elmo_BLOCKED_CONF,-,480,-,42,-,-,-
20210716T103652,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,480,-,41,-,-,-
20210828T135335,A_Elmo.B_KN,Elmo_BLOCKED_CONF,-,313,-,-,-,-,-
20230628T144009,A_MK.B_Elmo,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20230629T152509,A_MK.B_Elmo,Elmo_BLOCKED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210202T154700,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210203T151622,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,session dir missing,-,-,-,-,-,-
20210204T131620,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,-,569,-,52,-,-,-
20210205T151709,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,-,551,-,147,-,-,-
20210211T163501,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,-,482,-,25,-,-,-
20210212T153711,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,-,240,-,3,-,-,-
20210218T131636,A_Elmo.B_FS,Elmo_SHUFFLED_CONF,B_Reward_list absent from trialinfo.4python.mat; A_Reward_list absent from trialinfo.4python.mat,-,-,-,-,-,-
20210219T145809,A_Elmo.B_DL,Elmo_SHUFFLED_CONF,-,480,-,235,-,-,-
20210610T132106,A_Elmo.B_ST,Elmo_SHUFFLED_CONF,-,201,125,69,-,-,-
20210611T135443,A_Elmo.B_KN,Elmo_SHUFFLED_CONF,-,200,72,3,-,-,-
20210618T123111,A_Elmo.B_ST,Elmo_SHUFFLED_CONF,-,240,241,190,-,-,-
20210623T140144,A_Elmo.B_ST,Elmo_SHUFFLED_CONF,-,240,240,173,-,-,-
20210625T141512,A_Elmo.B_KN,Elmo_SHUFFLED_CONF,-,240,202,26,-,-,-
