bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0-1d,1.0,3.0,4,2,0.785498,0.779450,0.081796,1.000000
1-3d,3.0,7.0,3,1,0.829911,0.752730,0.000000,1.000000
3-7d,7.0,14.0,7,2,0.665894,0.619043,0.191659,1.000000
7-14d,14.0,30.0,14,2,0.721469,0.607460,0.441756,0.714286
14-30d,30.0,60.0,28,2,0.650454,0.470068,0.695640,0.750000
30-60d,60.0,,8,2,0.578699,0.437374,0.707505,0.500000
