channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,stable
1,A1,10,0.008997556853761511,-0.021022654527763897,0.8,8,-0.0013314602146076637,0.0023532894973779406,False
2,A1,10,0.16343087330055048,0.01556458374834812,0.6,6,-0.001122791132409888,0.0023135999033739017,False
3,A1,10,0.014404517802129686,-0.006083177380904386,0.7,7,-0.0010183825353520357,0.0014689054121041246,False
4,A1,10,0.22254010641828598,-0.0011870510655167547,0.7,7,0.00628552447386283,0.007512361156405385,False
5,A1,10,0.11927939039402986,-0.02502469911632964,0.9,9,-0.0014578570021358448,0.001755171260460221,False
6,A1,10,0.07130871519480561,0.049195917057517594,0.8,8,-0.0019398493939882817,0.0014514209133378315,False
7,A1,10,0.12589082265062201,0.0350130864509711,0.8,8,-0.0013974044971476866,0.0013939969755483454,False
8,A1,10,0.2203506635183697,0.014030932531761674,1.0,10,-0.008547776792310214,0.005582066159939872,False
9,A1,10,0.013943188267498676,-0.008004829767948436,0.7,7,-0.0005283435681304471,0.0010961939013309017,False
10,A1,10,0.24271091079520393,0.10235125476659918,0.9,9,-0.006204108942014444,0.005222757351425057,False
11,A1,10,0.03413267670153272,-0.00827563531569728,0.6,6,-0.0006733832574095575,0.0013002632458408458,False
12,A1,10,-0.20307179872301637,0.0769720745543187,0.6,6,-0.00042643978106098913,0.008410207818478488,False
13,A1,10,0.005949554392302773,0.02621386278728797,0.8,8,-0.0005355200707745937,0.0009295244225310294,False
14,A1,10,-0.006678982296133468,-0.0007497658710555954,0.8,8,-0.0015784720904762199,0.0014653703961397615,False
15,A1,10,-0.04811720652063742,0.000907480326699184,0.5,5,-0.00010927794893413657,0.0007069004878723279,False
16,A1,10,0.10191429157903908,-0.00941513208265447,0.7,7,-0.0007474738941720079,0.0021841965966132525,False
17,A1,10,0.06564570643571677,-0.007163906389313158,0.9,9,-0.001900408772341047,0.0016151452859156864,False
18,A1,10,0.09065202203991345,0.007415565851011146,0.8,8,-0.0006431849006755779,0.0011844705680745045,False
19,A1,10,0.4341174400868024,0.06095799194082476,1.0,10,-0.0031412369003353284,0.0016221197045297535,False
20,A1,10,0.6345102422898223,-0.016012966350854647,0.7,7,-0.006123861179376365,0.009620076955788356,False
21,A1,10,0.045521503743658966,-0.03560734417027129,1.0,10,-0.002101402432238769,0.0010914168446180647,False
22,A1,10,-0.011082698558916176,0.00692746746606817,0.8,8,-0.001120100548926904,0.0022309574016089596,False
23,A1,10,0.07968392532296621,0.009996084138370631,0.5,5,-0.001322828013439704,0.0029548225245958626,False
24,A1,10,0.1467693979606181,0.004961237394957249,0.9,9,-0.007135309635792402,0.007072155625380526,False
25,A1,10,0.10729725371861622,0.05840658850181603,1.0,10,-0.0013934879730492806,0.0007073218505558621,False
26,A1,10,-0.014592626959672091,0.10572500604335834,0.5,5,0.006992690498806062,0.014814487536758,False
27,A1,10,0.15411493597056622,0.0076044638771759895,0.5,5,-0.0005120657201995833,0.002542027854496423,False
28,A1,10,0.22822814626526816,0.05986107978645237,0.6,6,-0.015777830783707713,0.019676750754838924,False
29,A1,10,0.17527926191168772,0.06609082477268752,0.5,5,-0.0008919219729539221,0.0025897029176258266,False
30,A1,10,0.046535274635042714,0.00315139384787304,0.8,8,-0.0017596501544853873,0.0026527492705901456,False
31,A1,10,0.031504008962424085,0.009259407843335897,0.8,8,-0.0011242754059890571,0.001412541179825013,False
32,A1,10,0.1907016895760773,0.04354077313285138,0.7,7,0.008585380108914296,0.013295086495677413,False
33,A2,10,0.12382387842282803,0.02430066507150959,0.9,9,-0.004732651524094858,0.0031763779581177555,False
34,A2,10,0.10638144933633491,0.017393344801603275,0.5,5,5.4305163445959284e-05,0.0031810805446852706,False
35,A2,10,-0.034384125063565814,-0.02610741541761299,0.7,7,-0.0007555813341392001,0.0010879743776161168,False
36,A2,10,0.138787669302106,0.0056838572857992545,0.8,8,0.0012420944602786932,0.0013596925986396192,False
37,A2,10,0.07812545791638403,0.016257271622136693,0.7,7,-0.0007052755352814462,0.0014540190758666428,False
38,A2,10,0.014864652099194665,0.016853236954268807,0.9,9,-0.0017427757687358332,0.001498912412938038,False
39,A2,10,0.15841736353345928,0.05903766797623974,1.0,10,-0.0019647956910493307,0.0010502175427372176,False
40,A2,10,0.03644097368273643,-0.012532525049142432,0.9,9,-0.0013989335830981667,0.001260769056093468,False
41,A2,10,0.19024481614243105,0.06236231795582983,0.5,5,-0.0018546012136229455,0.00527217980328782,False
42,A2,10,0.12325550421645481,-0.01770535148668515,0.5,5,-0.0002777738689338397,0.002193185793441246,False
43,A2,10,0.08753722159719635,-0.003862776427754302,0.9,9,-0.0025422354530237456,0.0021598311071756968,False
44,A2,10,0.09583545727954289,-0.028777451933968152,0.8,8,-0.0005866615594396076,0.0017206312617698905,False
45,A2,10,0.016660439493889758,0.005128321056362787,0.5,5,-0.0002588332315283723,0.0010780175020999529,False
