rank,list,channel,array_name,delta_si_median,delta_si_median_abs,qualifying_conditions,si_a_median_abs,si_b_median_abs,waveform_r_median,sign_flip_rate,n_matched_sessions
1,different10,136,A5,-0.6283827796005192,0.6283827796005192,AgoB,0.9653936370567743,0.25500225129137344,0.5177108075330861,0.1,10
2,different10,117,A4,-0.6052051612349536,0.6052051612349536,BgoA,0.16686998670445058,0.43590267351097356,0.006015060229582862,0.7,10
3,different10,113,A4,-0.2806083405521872,0.2806083405521872,AgoB,0.3938120366025324,0.1514371894706726,0.467177619800111,0.2,10
