channel,array_name,max_gap_days_at_r
11,A1,69.8712
16,A1,41.8378
21,A1,83.9048
30,A1,58.9942
32,A1,58.9942
38,A2,55.8714
41,A2,94.9519
47,A2,58.9942
61,A2,83.9048
63,A2,69.8712
68,A3,94.9519
70,A3,94.9519
71,A3,69.8712
78,A3,83.9048
85,A3,94.9519
121,A4,54.9743
122,A4,58.9942
146,A5,94.9519
