bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0-1d,1.0,3.0,36,18,0.790291,0.662749,0.180241,0.888889
1-3d,3.0,7.0,87,18,0.826441,0.756877,0.098959,0.919540
3-7d,7.0,14.0,84,18,0.772745,0.662532,0.131776,0.892857
7-14d,14.0,30.0,160,18,0.692921,0.537926,0.234829,0.881250
14-30d,30.0,60.0,282,18,0.583838,0.408766,0.266431,0.858156
30-60d,60.0,,49,14,0.511255,0.140924,0.397090,0.714286
