bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0,0.0,1.0,35,12,0.677893,0.561258,0.241048,0.885714
0-1d,1.0,3.0,47,12,0.722955,0.551568,0.188335,0.957447
1-3d,3.0,7.0,115,12,0.723591,0.578852,0.248928,0.913043
3-7d,7.0,14.0,207,12,0.687344,0.555598,0.252728,0.898551
7-14d,14.0,30.0,110,12,0.634891,0.506165,0.263612,0.900000
