channel,array_name,max_gap_days_at_r
22,A1,24.0907
30,A1,26.0186
32,A1,26.0186
47,A2,26.0186
63,A2,26.0186
71,A3,21.9199
85,A3,24.0907
121,A4,26.0186
122,A4,26.0186
137,A5,24.0907
139,A5,24.0907
146,A5,26.0186
