bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0,0.0,1.0,21,7,0.664593,0.604520,0.345041,0.904762
0-1d,1.0,3.0,21,7,0.639645,0.538672,0.366409,0.952381
1-3d,3.0,7.0,63,7,0.626857,0.446956,0.303115,0.968254
3-7d,7.0,14.0,105,7,0.589227,0.405878,0.357390,0.923810
7-14d,14.0,30.0,42,7,0.599557,0.425965,0.480933,0.928571
