bin_label,gap_min_days,gap_max_days,n_pairs,n_channels,median_waveform_r,p25_waveform_r,median_abs_delta_si,fraction_sign_match
0,0.0,1.0,2,2,0.797346,0.714194,0.319970,1.000000
0-1d,1.0,3.0,5,2,0.827538,0.693881,0.122806,1.000000
1-3d,3.0,7.0,10,2,0.750517,0.694128,0.221030,0.900000
3-7d,7.0,14.0,16,2,0.717464,0.330878,0.229994,0.875000
7-14d,14.0,30.0,4,2,0.577071,0.475052,0.101284,0.750000
30-60d,60.0,,44,2,0.408243,0.285777,0.262956,0.772727
