cluster_id,n_sessions,session_ids,span_days
1,6,20210204T131620;20210205T151709;20210211T163501;20210212T153711;20210218T131636;20210219T145809,15.0707
2,4,20210610T132106;20210618T123111;20210623T140144;20210625T141512,15.0376
